Arquivo,Caminho,Tipo,O que é,Dimensões,Tamanho,Tamanho em bytes,Formato de origem,Dimensões de origem,Tamanho de origem,Economia (%),Referenciado em
guerras-de-sangue.webp,assets/covers/guerras-de-sangue.webp,Capa de livro,Capa: Guerras de sangue,1024 × 1535 px,341.6 KB,349774,WEBP,1024 × 1535 px,341.6 KB,0.0,
ruinas-dos-ceus.webp,assets/covers/ruinas-dos-ceus.webp,Capa de livro,Capa: Ruinas dos ceus — Ruínas dos Céus,1024 × 1536 px,283.1 KB,289918,WEBP,1024 × 1536 px,283.1 KB,0.0,
Capitulo 5.webp,assets/chapters/ruinas-dos-ceus/Capitulo 5.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 5 — Ruínas dos Céus,1672 × 941 px,287.1 KB,294030,PNG,1672 × 941 px,2.4 MB,88.5,
capitulo-1.webp,assets/chapters/guerras-de-sangue/capitulo-1.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 1 — Guerras de Sangue,1672 × 941 px,262.5 KB,268782,PNG,1672 × 941 px,2.4 MB,89.2,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-10.webp,assets/chapters/guerras-de-sangue/capitulo-10.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 10 — Guerras de Sangue,1672 × 941 px,202.2 KB,207080,PNG,1672 × 941 px,2.1 MB,90.8,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-11.webp,assets/chapters/guerras-de-sangue/capitulo-11.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 11 — Guerras de Sangue,1672 × 941 px,380.8 KB,389982,PNG,1672 × 941 px,2.6 MB,85.8,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-12.webp,assets/chapters/guerras-de-sangue/capitulo-12.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 12 — Guerras de Sangue,1672 × 941 px,309.6 KB,317040,PNG,1672 × 941 px,2.4 MB,87.6,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-13.webp,assets/chapters/guerras-de-sangue/capitulo-13.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 13 — Guerras de Sangue,1672 × 941 px,285.4 KB,292234,PNG,1672 × 941 px,2.4 MB,88.3,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-14.webp,assets/chapters/guerras-de-sangue/capitulo-14.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 14 — Guerras de Sangue,1672 × 941 px,211.3 KB,216390,PNG,1672 × 941 px,2.1 MB,90.4,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-15.webp,assets/chapters/guerras-de-sangue/capitulo-15.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 15 — Guerras de Sangue,1672 × 941 px,405.7 KB,415484,PNG,1672 × 941 px,2.8 MB,86.0,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-16.webp,assets/chapters/guerras-de-sangue/capitulo-16.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 16 — Guerras de Sangue,1672 × 941 px,364.2 KB,372988,PNG,1672 × 941 px,2.7 MB,86.7,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-17.webp,assets/chapters/guerras-de-sangue/capitulo-17.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 17 — Guerras de Sangue,1672 × 941 px,232.5 KB,238070,PNG,1672 × 941 px,2.2 MB,89.8,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-18.webp,assets/chapters/guerras-de-sangue/capitulo-18.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 18 — Guerras de Sangue,1672 × 941 px,243.1 KB,248916,PNG,1672 × 941 px,2.3 MB,89.5,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
